rank,month,mahalanobis,mahalanobis_sq,gaussian_logpdf
1,198710,14.41658900802234,207.83803862623057,-66.69399925765151
2,202003,13.828916367080707,191.23892788771266,-58.39444388839256
3,200910,12.728243022222202,162.00817043274816,-43.77906516091031
4,200810,11.234271919062035,126.20886555142579,-25.87941272024912
5,198005,10.699052757933307,114.4697299170403,-20.009844903056376
6,200812,9.589513513973483,91.95876943468004,-8.754364661876245
7,200903,8.63803448672109,74.61563979378288,-0.08279984142766494
8,198208,8.351059762296545,69.74019915344843,2.354920478739558
9,200203,8.174770755209083,66.82687690022168,3.8115816053529343
10,198105,8.064296238305861,65.03287381915405,4.708583145886749
11,200911,7.862930820785856,61.82568109246413,6.312179509231708
12,198003,7.5885704268192615,57.58640112279586,8.431819494065842
13,198007,7.464569072991204,55.719791445456764,9.365124332735391
14,198004,7.376668842561842,54.415243212822666,10.01739844905244
15,201003,6.880814715024167,47.34561114249311,13.552214484217217
16,198111,6.860685343880416,47.06900338773554,13.690518361596002
17,198011,6.841893004358162,46.81149988308515,13.819270113921199
18,198012,6.704164725044461,44.945824660530484,14.752107725198531
19,198711,6.51652798031113,42.465136918177855,15.992451596374845
20,200912,6.40807179615924,41.06338414473151,16.69332798309802
