run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,test_sharpe,best_val_metric
scenario=summer_child_no_dotcom_pre2007__topk=21__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,21,return,5.0,1.0,diagSigma,zscore,0.7285404341218953,0.3626696737483144
scenario=summer_child_no_dotcom_pre2007__topk=21__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,21,sharpe,20.0,1.0,identity,zscore,1.0510289884626451,1.9312848023276046
scenario=summer_child_no_dotcom_pre2007__topk=21__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,21,utility,10.0,1.0,diagSigma,zscore,0.8932706254516232,0.3298871984006837
scenario=summer_child_no_dotcom_pre2007__topk=24__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,24,return,5.0,1.0,diagSigma,zscore,0.6257822047472138,0.2969276728108525
scenario=summer_child_no_dotcom_pre2007__topk=24__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,24,sharpe,20.0,1.0,identity,zscore,1.2011138893345368,1.5339731346057903
scenario=summer_child_no_dotcom_pre2007__topk=24__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,24,utility,10.0,1.0,diagSigma,zscore,1.478741786158005,0.21870404353830963
scenario=summer_child_no_dotcom_pre2007__topk=34__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,34,return,5.0,1.0,diagSigma,zscore,1.673808799901342,0.5186123785097152
scenario=summer_child_no_dotcom_pre2007__topk=34__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,34,sharpe,20.0,1.0,identity,zscore,1.0903108068177392,2.248352448144587
scenario=summer_child_no_dotcom_pre2007__topk=34__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,34,utility,10.0,1.0,diagSigma,zscore,1.030679817102366,0.38882077450398356
scenario=summer_child_no_dotcom_pre2007__topk=37__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,37,return,5.0,1.0,diagSigma,zscore,0.8611322944937055,0.3479546383023262
scenario=summer_child_no_dotcom_pre2007__topk=37__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,37,sharpe,20.0,1.0,identity,zscore,1.0992690726185486,2.37874096979661
scenario=summer_child_no_dotcom_pre2007__topk=37__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,37,utility,10.0,1.0,diagSigma,zscore,1.2866817139858795,0.1358264564187266
scenario=summer_child_no_dotcom_pre2007__topk=40__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,40,return,5.0,1.0,diagSigma,zscore,0.922262544964284,0.7925202106125653
scenario=summer_child_no_dotcom_pre2007__topk=40__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,40,sharpe,20.0,1.0,identity,zscore,1.174017507608748,2.258027210201677
scenario=summer_child_no_dotcom_pre2007__topk=40__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,40,utility,10.0,1.0,diagSigma,zscore,0.8319004176566146,0.17740458867046982
scenario=summer_child_no_dotcom_pre2007__topk=42__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,42,return,5.0,1.0,diagSigma,zscore,0.9668728227321659,0.1660158601589501
scenario=summer_child_no_dotcom_pre2007__topk=42__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,42,sharpe,20.0,1.0,identity,zscore,1.1212500270465997,2.4985333256726965
scenario=summer_child_no_dotcom_pre2007__topk=42__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,42,utility,10.0,1.0,diagSigma,zscore,1.1559833544908977,0.12132899439893663
scenario=summer_child_no_dotcom_pre2007__topk=47__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,47,return,5.0,1.0,diagSigma,zscore,0.8088229434129314,-0.006246328353881836
