yyyymm,date,EqualWeight_TopK,diagSigma_kappa_0.0,diagSigma_kappa_0.1,diagSigma_kappa_0.5,diagSigma_kappa_1.0,diagSigma_kappa_10.0,identity_kappa_0.0,identity_kappa_0.1,identity_kappa_0.5,identity_kappa_1.0,identity_kappa_10.0
201601,2016-01-01,1.04284665665,0.9915635894442042,1.016155333164598,1.0157691641565587,1.0158157865082662,1.017333753373907,0.9915635894442042,1.0314536547292783,1.0379918304779467,1.040246931983862,1.0425677952731789
201602,2016-02-01,1.1391251051904616,1.0969258193522478,1.107635855327778,1.0785689676868628,1.0778184914289595,1.0826042700634653,1.0969258193522478,1.11810696330126,1.1316862911104475,1.1351628055605616,1.1387025515471019
201603,2016-03-01,1.1848614224226497,1.1428522334572448,1.186286573228686,1.1252837359555494,1.1213660159499106,1.1248273573275385,1.1428522334572448,1.1643858510687644,1.1773990062089754,1.1808696942437678,1.184433938498004
201604,2016-04-01,1.1775638737480734,1.1292147244701098,1.1879819785562593,1.1402884001456426,1.1395727002485674,1.1423083044967823,1.1292147244701098,1.1694474537143504,1.1734581665539432,1.1753466897089897,1.1773241550289433
201605,2016-05-01,1.1921662282235954,1.1465790470585482,1.1964413164283647,1.1530492236144192,1.1499248445292696,1.149615772700566,1.1465790470585482,1.1941680613599537,1.1914174951718433,1.1917255513294704,1.1921148951376266
201606,2016-06-01,1.2787250548171676,1.2017282283839867,1.2563839257615799,1.1991323700651433,1.1980154336220892,1.2018493042512302,1.2017282283839867,1.279647200170066,1.2775859286334985,1.2780770830306678,1.2786517623544842
201607,2016-07-01,1.3039850417539764,1.2224702810512995,1.3026545180384308,1.225747314589861,1.2248316328500723,1.2285834941347027,1.2224702810512995,1.3101630527429915,1.3045055252977498,1.3042051461738784,1.3040028571995343
201608,2016-08-01,1.3247833043291806,1.2652772193022763,1.3664436217030942,1.2569664005811232,1.2494886099834195,1.248787914797143,1.2652772193022763,1.3398110822865323,1.326881183082533,1.3257671664247994,1.3248749842430445
201609,2016-09-01,1.2761582592095866,1.2558742599412962,1.3740243197373918,1.2629132345710836,1.2540569254945417,1.2487299922714987,1.2558742599412962,1.3156726974808994,1.285548182298748,1.2809683500692564,1.2766529996395137
201610,2016-10-01,1.402750958203011,1.3320882784950858,1.4859082258304963,1.3553159477498564,1.349096553527146,1.3524073851616654,1.3320882784950858,1.4190865749588693,1.4049918978083749,1.4037668657634816,1.4028422958628803
201611,2016-11-01,1.4535392411031705,1.359861619384277,1.5638484069951928,1.444785056154601,1.4415728467502888,1.4443530936272637,1.359861619384277,1.4904283656748103,1.4626793490525216,1.458292110854197,1.4540369852036081
201612,2016-12-01,1.5033983333883014,1.4441399124521122,1.6703095873941542,1.5101119062078403,1.4910646366483815,1.4827431955170576,1.4441399124521122,1.5543737854167436,1.5161972502069552,1.5100390722006587,1.5040920812194936
201701,2017-01-01,1.5232044337799924,1.4346764279440376,1.6974949508871875,1.5395410604526238,1.5211554530975344,1.5097795967083343,1.4346764279440376,1.5823350942068666,1.538268120494383,1.5310316514434035,1.524023100187206
201702,2017-02-01,1.5317387286144626,1.4584158387158,1.7173959039259008,1.553396422194281,1.53418480123562,1.522174693637182,1.4584158387158,1.5969636427872584,1.5496257842830667,1.541135328224834,1.5327327511199778
