yyyymm,date,EqualWeight_TopK,diagSigma_kappa_0.0,diagSigma_kappa_0.1,diagSigma_kappa_0.5,diagSigma_kappa_1.0,diagSigma_kappa_10.0,identity_kappa_0.0,identity_kappa_0.1,identity_kappa_0.5,identity_kappa_1.0,identity_kappa_10.0
201601,2016-01-01,0.04284665665,-0.008436410555795791,0.01615533316459797,0.01576916415655876,0.015815786508266164,0.017333753373907013,-0.008436410555795791,0.0314536547292783,0.03799183047794676,0.04024693198386207,0.04256779527317897
201602,2016-02-01,0.09232272830000003,0.10625867168751296,0.0900261201978673,0.06182487689754766,0.061037351205004794,0.06415841062295796,0.10625867168751296,0.08401085998839682,0.09026512336745346,0.09124359866717871,0.09220959702551836
201603,2016-03-01,0.04015038999999999,0.04186829528009232,0.07100773916138098,0.04331180450043228,0.04040339339810026,0.039001404697579824,0.04186829528009232,0.04139039401996385,0.040393451310321335,0.04026461090806722,0.0401609594083802
201604,2016-04-01,-0.006158989174999991,-0.011932871624077091,0.0014291701228304318,0.013334116286104168,0.01623616556921775,0.01554100463094762,-0.011932871624077091,0.004347014901409209,-0.0033470723469702333,-0.004677065184838127,-0.00600268469010334
201605,2016-05-01,0.012400477631030018,0.015377343398162619,0.007120762793376771,0.011190873701027584,0.009084233308190252,0.006397106783709125,0.015377343398162619,0.021138707487101425,0.015304617693053852,0.013935345004065137,0.012563014226374842
201606,2016-06-01,0.07260634007604,0.048098891626285147,0.05010075171271816,0.039966330584108964,0.041820636645611385,0.04543564275215383,0.048098891626285147,0.0715804932119572,0.07232429757901684,0.07245924332566737,0.0725910460223442
201607,2016-07-01,0.019754040825000003,0.01726018593671997,0.03682838607538151,0.0221951680974735,0.022383851222105566,0.02224421130744699,0.01726018593671997,0.023847082671590848,0.02107067404307156,0.020443260809632692,0.019826426233808262
201608,2016-08-01,0.015949770825000004,0.035016751666276706,0.04896855058754833,0.025469430460639538,0.020130911442883478,0.016445297172635685,0.035016751666276706,0.022629267007239117,0.017152597172538517,0.016532690669238036,0.016006197324087874
201609,2016-09-01,-0.03670415,-0.007431540865143505,0.005547757634412449,0.004731100200618687,0.0036561481830417455,-4.6382996630497914e-05,-0.007431540865143505,-0.018016259997221496,-0.031150491325653215,-0.03379086274730435,-0.036397384792559974
201610,2016-10-01,0.09919827582500003,0.06068602644770523,0.08142789358669296,0.07316631946624204,0.07578573675602879,0.08302626951529564,0.06068602644770523,0.07860152276168307,0.0929126711501735,0.09586381715643967,0.09884384892292468
201611,2016-11-01,0.03620620082500002,0.020849474721426137,0.05245289029955706,0.06601346981365068,0.06854683082642826,0.06798669504056816,0.020849474721426137,0.05027303617329264,0.041058920933375195,0.038842094382289034,0.03649354563353681
201612,2016-12-01,0.034301855,0.061975639187460116,0.06807640684528879,0.04521561859665926,0.03433179947143233,0.026579443807180886,0.061975639187460116,0.04290405444140962,0.03658894971690189,0.035484633676137044,0.03442491251959182
201701,2017-01-01,0.01317422,-0.006553024694127993,0.016275643568235083,0.019488061860716964,0.020180759243805232,0.018234041655371413,-0.006553024694127993,0.017988793334304823,0.014556727552708162,0.013902010636156086,0.013251195998287953
201702,2017-02-01,0.005602855825000004,0.016546874479412752,0.011723718546739726,0.008999670159874676,0.008565428412693593,0.008209871795771935,0.016546874479412752,0.009244911924123281,0.007383409717308162,0.0065992605521284185,0.005714907426076245
201703,2017-03-01,-0.005873684999999998,0.007329883176654293,0.01973454862581271,0.02125622236242171,0.018786336266847527,0.01337050945706246,0.007329883176654293,0.009464749483441922,0.00080251751699363,-0.0021312782605023345,-0.005453112837301202
201704,2017-04-01,-0.022902384174999995,0.012019504446156102,0.008251193740398606,0.006099400423303947,0.002672709988652717,-0.003868959968779329,0.012019504446156102,-0.0023067942869938046,-0.01661564021307487,-0.019583682143993447,-0.02255095450662398
201705,2017-05-01,0.03659367082500001,0.02015743596884394,0.010755450677924319,0.018369559650543574,0.021645490053123467,0.02678756460172207,0.02015743596884394,0.03168706346975792,0.03540252041176967,0.035983175947288774,0.0365308170605809
201706,2017-06-01,0.005046909999999998,0.05494584145890682,0.028354796491955478,0.010321612094705963,0.009174627142211431,0.00913361790603371,0.05494584145890682,0.01388577476939992,0.00773761345227437,0.006502081492175906,0.005204826767535134
201707,2017-07-01,-0.02086870999999999,-0.009011257618257395,-0.005326051742006816,-0.009216545146238247,-0.012752320716906967,-0.017518243344153004,-0.009011257618257395,-0.008723723184473117,-0.01780541468515407,-0.019260332331716357,-0.02069967335609668
201708,2017-08-01,0.07504630047581001,0.11283826929740645,0.08423130941232233,0.0589861347018361,0.060622117502334164,0.06372191235501323,0.11283826929740645,0.08043386132864669,0.07635925551180692,0.0757193839106982,0.07511551123451948
201709,2017-09-01,0.014834131881659999,0.00912040990803384,-0.003775660958928533,0.01297408171004983,0.015184450528667553,0.016255728717721296,0.00912040990803384,0.01295810289312494,0.014393421028641726,0.014602902835116218,0.014809775860792452
201710,2017-10-01,0.036643935825,0.004600199287169298,0.010263500537505174,0.03260934710690805,0.032379878832224124,0.031638352182911514,0.004600199287169298,0.04149856021857747,0.03833317111047449,0.03752360876059385,0.03673574837526624
201711,2017-11-01,0.012716385825000008,-0.002352739084868457,-0.0014386638266297553,0.003154489308156511,0.0028960208989228828,0.0011074450005231795,-0.002352739084868457,0.009569747847317862,0.01167253781229223,0.012164967638412818,0.012658200901923228
201712,2017-12-01,0.02669398,0.009018437283335854,0.018729463381329418,0.03048572636318964,0.03232297349482555,0.03429796915208281,0.009018437283335854,0.020001126165225074,0.025319941756880297,0.025991996487790513,0.026622139822613473
201801,2018-01-01,-0.037065955,-0.0003893051177237437,-0.0043565128821253475,-0.018072605542629388,-0.02456570482180216,-0.030072161087454474,-0.0003893051177237437,-0.03397888709581004,-0.0371104614964817,-0.03711448424255185,-0.03707360162533678
201802,2018-02-01,0.015038420987220002,0.017317382072515344,0.025706968719275004,0.03172525006495957,0.028274272139582047,0.024102429089385532,0.017317382072515344,0.016714199132607223,0.015267255122187781,0.015135352149888716,0.015046404512355123
201803,2018-03-01,0.012980565000000003,-0.03477777401394598,-0.02705029584477635,0.00016050785735404719,0.002422914669818434,0.005558793082865781,-0.03477777401394598,-0.0017143359013476426,0.009038085485232196,0.010909713364123661,0.01276274001283741
201804,2018-04-01,0.016019429999999998,0.060095668235843405,0.042864356361472525,0.01534348849182065,0.012799803062553471,0.012072976549247112,0.060095668235843405,0.01832999130660707,0.0165897058257987,0.016305870797326046,0.01604823771321829
