yyyymm,date,EqualWeight_TopK,diagSigma_kappa_0.0,diagSigma_kappa_0.1,diagSigma_kappa_0.5,diagSigma_kappa_1.0,diagSigma_kappa_10.0,identity_kappa_0.0,identity_kappa_0.1,identity_kappa_0.5,identity_kappa_1.0,identity_kappa_10.0
201601,2016-01-01,1.04274665665,0.9914635894442042,1.016055333164598,1.0156691641565587,1.0157157865082662,1.017233753373907,0.9914635894442042,1.0313536547292783,1.0378918304779468,1.040146931983862,1.042467795273179
201602,2016-02-01,1.1388073235863017,1.0966169007671902,1.1073236416491252,1.0782596513663416,1.0775092445365373,1.0822944074717282,1.0966169007671902,1.1177922914843152,1.131369686232015,1.134845651814298,1.1383848370283447
201603,2016-03-01,1.1843031202984307,1.1423110575974973,1.185730725234247,1.1247453706567514,1.1208287725847295,1.124288950777966,1.1423110575974973,1.1638345964030326,1.176843338629555,1.1803128012949495,1.18387578729195
201604,2016-04-01,1.176890579888564,1.128565775286663,1.1873067630879504,1.1396303816842803,1.1389146512339,1.141649101673452,1.128565775286663,1.1687774192767317,1.1727866745002489,1.1746743701046647,1.1766509666498595
201605,2016-05-01,1.1913668961406534,1.1458072621831308,1.1956425622345628,1.1522698783133944,1.1491469261787013,1.1488381879762155,1.1458072621831308,1.1933669855184241,1.1906184475215331,1.1909263952824956,1.1913155843866945
201606,2016-06-01,1.2776294127779497,1.2006901600590512,1.2553060248697878,1.1980914232165158,1.196975152845606,1.2008066218275393,1.2006901600590512,1.278550109527596,1.2764909667336433,1.2769818354621734,1.2775561656831675
201607,2016-07-01,1.3026122304746304,1.2211741574420485,1.3012858585914708,1.2244436454663044,1.2235286715528901,1.2272774567384872,1.2211741574420485,1.3087840896673666,1.3031321936192664,1.3028321118065977,1.302630027528495
201608,2016-08-01,1.323128074578448,1.263691474822983,1.3647476838150503,1.2553846390183871,1.2479147131534396,1.2472149437364806,1.263691474822983,1.3381391574693422,1.3252236687602603,1.324110865682685,1.3232196547838926
201609,2016-09-01,1.2742991576449936,1.254047561691938,1.372046023660219,1.261072912608097,1.252227691321896,1.2469076511812005,1.254047561691938,1.3137632666644177,1.2836772556282414,1.2791031949850504,1.274793275912688
201610,2016-10-01,1.400452577137098,1.3298999156751168,1.4834944320661365,1.3530887616196838,1.3468782439567626,1.350184360358619,1.3298999156751168,1.416764307319271,1.4026904028922598,1.4014670891543182,1.4005437912297796
201611,2016-11-01,1.4510175991330987,1.3574946403574444,1.5611596533280987,1.4422755368638929,1.4390677912646679,1.441843914278829,1.3574946403574444,1.4878476741594306,1.460143088198328,1.4557628593960066,1.4515145456076672
201612,2016-12-01,1.5003548891412706,1.4412189899950412,1.666969445142514,1.5070562347889636,1.488041857762784,1.4797347704028454,1.4412189899950412,1.5512360174698439,1.5131301473054388,1.5069833423231809,1.5010473524974437
201701,2017-01-01,1.5195207525732368,1.4311981587679594,1.6934336578927351,1.5358230174261944,1.5174764554958944,1.5061244219371113,1.4311981587679594,1.5785203871938511,1.534551118552631,1.5273306474397386,1.5203376062270997
201702,2017-02-01,1.5274265999719707,1.4543075357927522,1.7126096240122883,1.5490305888000033,1.529867300861194,1.5178870605809214,1.4543075357927522,1.5924822609890135,1.5452675177456379,1.5367989680724685,1.5284180598605792
201703,2017-03-01,1.5179967492831228,1.464531147872303,1.74589341902719,1.5814924182650894,1.5581489422285684,1.537726617760997,1.464531147872303,1.607076961967803,1.5460440417417465,1.5330625821506314,1.5196248982996323
201704,2017-04-01,1.482472006179998,1.481401820941752,1.7594261771681567,1.590347827581375,1.5615343479991572,1.5310083517250728,1.481401820941752,1.6025662275321924,1.5195825081697267,1.5022730405438682,1.4845960939017944
201705,2017-05-01,1.5358316155777183,1.5103742421989492,1.7772939429318368,1.6186076081686946,1.594397603587584,1.5711017318416491,1.5103742421989492,1.6523853055619762,1.5724678094276718,1.5554282318583004,1.5379388445606328
201706,2017-06-01,1.542661320547347,1.5924568013091098,1.8266223746242953,1.6343430834688504,1.6080689685547829,1.5845089137126938,1.5924568013091098,1.6743385245639386,1.583691476817511,1.5646084960379592,1.5450207865188976
201707,2017-07-01,1.5093881058962442,1.576992043065651,1.815615053681702,1.6181360464971892,1.586436709054878,1.5556419447416963,1.576992043065651,1.6585600217913488,1.5543846093056588,1.5333783904880145,1.5119578463590135
201708,2017-08-01,1.6213036499306408,1.753517803062201,1.966912633493722,1.7121273148599216,1.6811820686030698,1.6533703466500416,1.753517803062201,1.7904717045697391,1.6716773147028747,1.6481048169663055,1.624168570891591
201709,2017-09-01,1.643895108808991,1.7679324381844073,1.957716016883672,1.7327996799575485,1.7051968306917131,1.6787590531631245,1.7679324381844073,1.81206139661067,1.6942339605341898,1.670688637135282,1.6467603916728366
201710,2017-10-01,1.702654390081291,1.7744741405319406,1.9760470918600448,1.7877456264760616,1.758876220306981,1.7303613401695035,1.7744741405319406,1.8856284803407277,1.7576545102800432,1.7318752841424943,1.7057732827031793
201711,2017-11-01,1.7229438767201297,1.7688796865539973,1.9716233867157809,1.791954854439303,1.762562861623363,1.730893331112637,1.7688796865539973,1.902164966647037,1.776764675404009,1.7515579907005407,1.7260006849826066
201712,2017-12-01,1.7673854566173712,1.7832402253510526,2.0067763736910025,1.8449711404179334,1.8179478277071177,1.7887016531906825,1.7832402253510526,1.9384984596620332,1.8201531652930572,1.7955080776513601,1.770397115935656
201801,2018-01-01,1.6999315028124582,1.7805844365573065,1.9958263725564127,1.8095982365051653,1.7712889153797504,1.7329439571200265,1.7805844365573065,1.870498091060147,1.7506042728529276,1.7268936625105777,1.702814681713283
201802,2018-02-01,1.7236258637480957,1.8094608546773308,2.0449376096750123,1.8650176350152456,1.8194224024041048,1.772805877609559,1.8094608546773308,1.899704420731122,1.7754055302044272,1.751131223189325,1.7265628240740338
201803,2018-03-01,1.7439311502716612,1.7443604809606683,1.9871675172175833,1.8630789638377512,1.821647400750601,1.7805331716061472,1.7443604809606683,1.8941680439358366,1.7893213105211234,1.7681342054294606,1.746526621124632
201804,2018-04-01,1.7694264296478772,1.846746885034852,2.069564139301436,1.889056783929376,1.8424138223685702,1.7995367603918562,1.846746885034852,1.926236292452923,1.8165005748557717,1.7944897854479247,1.7721101582433294
201805,2018-05-01,1.7523904450660204,1.8945592565318239,2.103307804959491,1.9167946250989483,1.862928164357639,1.8129518260792818,1.8945592565318239,1.9269210808956452,1.8029115992024933,1.7791845690154486,1.7552480191776836
201806,2018-06-01,1.7936995464732837,2.02558810529232,2.145657454218778,1.948097418339604,1.8965174600191608,1.8499732667489577,2.02558810529232,1.9719795906714728,1.8453846888615302,1.8210832165304618,1.7966174245706175
201807,2018-07-01,1.793629870214401,2.1283623634105058,2.1990670445293627,1.9573228397365825,1.9060342151692657,1.8590619154770562,2.1283623634105058,1.9777933342876994,1.8470893969343485,1.821943721117208,1.7966452618724642
201808,2018-08-01,1.7540911292279922,2.059933108373874,2.1308467923281458,1.9319251230094545,1.8832642914207092,1.8375004647094644,2.059933108373874,1.9390408814866058,1.8072782481940208,1.7822425484231945,1.7570868568298643
201809,2018-09-01,1.6205912176284019,2.0346860563187272,2.0505699737449894,1.8023266994261302,1.7465594446924035,1.6939256342375446,2.0346860563187272,1.800471072797095,1.6716420550189197,1.6475549287903117,1.623454488671987
201810,2018-10-01,1.602114087375392,1.9938586062752361,2.026111478246905,1.8132976508396397,1.764274521229859,1.7140681847033086,1.9938586062752361,1.7851259104609705,1.653240304436855,1.6291242642829509,1.6049825832486042
201811,2018-11-01,1.4163030049824366,1.887486952358772,1.9051891946200439,1.6893531088724403,1.629260174757514,1.5637532379288306,1.887486952358772,1.6219730557603993,1.472909881172635,1.4460629893137689,1.4194459132272181
201812,2018-12-01,1.6299245383428442,2.0874248264834447,2.050324728333545,1.8350359728948742,1.783329667536653,1.736423664541842,2.0874248264834447,1.8140597373811835,1.6824767073595817,1.657804515940549,1.6328950026299
201901,2019-01-01,1.7200179896787977,2.2254288536088596,2.1616449885433378,1.9225626954521688,1.8684012331338486,1.8234920688085108,2.2254288536088596,1.9094358971704097,1.7732119828952433,1.7482414461668132,1.7230259024400032
201902,2019-02-01,1.660390239250787,2.1458071320791396,2.1077255259275023,1.8802400527889902,1.8209414291247057,1.7666871902003454,2.1458071320791396,1.8595482363875255,1.7152593201455948,1.689445671004196,1.663480942338049
201903,2019-03-01,1.6922569219337062,2.1773313013302658,2.1245118787365658,1.9013105822626621,1.8524938249142053,1.8113162339479032,2.1773313013302658,1.8994889888781918,1.7490110027256396,1.7223837994106166,1.6954702997576758
201904,2019-04-01,1.5796332808203901,2.1832020169061512,2.12228627348934,1.8719739068993928,1.8161205903935875,1.7568430867481566,2.1832020169061512,1.83140712966658,1.6511539289387016,1.6174078983776081,1.5836432650312577
201905,2019-05-01,1.636693466837526,1.9828229700090632,2.0578961339309725,1.9296837612470743,1.8917909360672587,1.8404443634791534,1.9828229700090632,1.914556206318149,1.7140895513129826,1.6776760633978822,1.6410550801811752
201906,2019-06-01,1.6141816974833865,1.9323590771195962,2.0207895936746314,1.9129557451716996,1.8800094757045185,1.832960086997477,1.9323590771195962,1.8978588474262024,1.6965960980313928,1.6577655780648899,1.6188140458126248
201907,2019-07-01,1.5249013804337568,2.0001405599863356,2.057736316659983,1.8866040206762256,1.8342633854869592,1.7649538968956942,2.0001405599863356,1.8417512967535579,1.6170623367634354,1.573489942794374,1.5300515847712226
201908,2019-08-01,1.576778442213551,2.0694108254611527,2.1578132738604974,1.963118138975639,1.9111764843533259,1.8470071677065392,2.0694108254611527,1.8887705114453115,1.6691638144581848,1.6255587429073919,1.5819563054004993
201909,2019-09-01,1.5891500350845713,2.0647431616255583,2.1668462284404826,1.978934564869101,1.9320262790440685,1.8740964540116503,2.0647431616255583,1.901857375735889,1.682925538607151,1.6386847295050146,1.5944096606966784
201910,2019-10-01,1.6346875663561793,2.184768595040499,2.2161585612797703,2.031631563424367,1.9883390722043777,1.9321347711425716,2.184768595040499,1.9623697669030542,1.7334937155679526,1.6868677606857352,1.6402266907316547
201911,2019-11-01,1.7230908160166658,2.1172176949354116,2.196582010466652,2.099740447279997,2.0684481946617113,2.02115612778998,2.1172176949354116,2.03183893697185,1.818747129541254,1.7736651831422756,1.7284651508485185
201912,2019-12-01,1.7099413901431433,2.104130975060008,2.1946260797475663,2.0906318165175968,2.0526928651222116,1.9927372817458533,2.104130975060008,2.0283100976445714,1.8067590831168856,1.7609412004782925,1.7153419504520127
202001,2020-01-01,1.5551712519858696,1.8967397097541505,2.011883085371813,1.9291298131332149,1.8834764271025408,1.8145332344686442,1.8967397097541505,1.85594492038994,1.64790222966415,1.6039932679003863,1.5603396692522078
202002,2020-02-01,1.1730691123014085,1.5071391831769652,1.6393428392230303,1.5009637927644575,1.451769843487949,1.3881324816905156,1.5071391831769652,1.4073017456242334,1.2497688650086658,1.213524381095959,1.177349240338965
202003,2020-03-01,1.4467879129462375,1.5070889415428805,1.6887891263948605,1.6273008970720027,1.6015492788251269,1.6091468245484148,1.5070889415428805,1.6186354282914615,1.4830702911767208,1.4676386840158733,1.449048053250158
202004,2020-04-01,1.5197717273686058,1.627720153769999,1.8088620933841917,1.7217447766479461,1.676599786664045,1.6703570942101336,1.627720153769999,1.7145510262620487,1.5632449839952578,1.5444775730316291,1.522442227007866
202005,2020-05-01,1.6260302239164093,1.712535796035158,1.9899275958958955,1.8475761042454792,1.775607762939541,1.753131635314259,1.712535796035158,1.8463407007748485,1.6707381691915832,1.6516062919485406,1.6287994481555135
