yyyymm,regime,regime_int
198001,financial_stress,3
198002,financial_stress,3
198003,financial_stress,3
198004,financial_stress,3
198005,financial_stress,3
198006,financial_stress,3
198007,financial_stress,3
198008,financial_stress,3
198009,financial_stress,3
198010,financial_stress,3
198011,financial_stress,3
198012,financial_stress,3
198101,financial_stress,3
198102,financial_stress,3
198103,financial_stress,3
198104,financial_stress,3
198105,financial_stress,3
198106,financial_stress,3
198107,financial_stress,3
198108,financial_stress,3
198109,financial_stress,3
198110,financial_stress,3
198111,financial_stress,3
198112,financial_stress,3
198201,financial_stress,3
198202,financial_stress,3
198203,financial_stress,3
198204,financial_stress,3
198205,financial_stress,3
198206,financial_stress,3
198207,financial_stress,3
198208,financial_stress,3
198209,financial_stress,3
198210,financial_stress,3
198211,financial_stress,3
198212,financial_stress,3
198301,financial_stress,3
198302,financial_stress,3
198303,financial_stress,3
198304,financial_stress,3
198305,financial_stress,3
198306,financial_stress,3
198307,expansion,0
198308,expansion,0
198309,expansion,0
198310,expansion,0
198311,expansion,0
198312,expansion,0
198401,expansion,0
198402,expansion,0
198403,expansion,0
198404,expansion,0
198405,financial_stress,3
198406,financial_stress,3
198407,financial_stress,3
198408,financial_stress,3
198409,financial_stress,3
198410,expansion,0
198411,expansion,0
198412,expansion,0
198501,expansion,0
198502,expansion,0
198503,expansion,0
198504,expansion,0
198505,expansion,0
198506,expansion,0
198507,expansion,0
198508,expansion,0
198509,expansion,0
198510,expansion,0
198511,expansion,0
198512,expansion,0
198601,expansion,0
198602,expansion,0
198603,expansion,0
198604,expansion,0
198605,expansion,0
198606,expansion,0
198607,expansion,0
198608,expansion,0
198609,expansion,0
198610,expansion,0
198611,expansion,0
198612,expansion,0
198701,expansion,0
198702,expansion,0
198703,expansion,0
198704,expansion,0
198705,financial_stress,3
198706,financial_stress,3
198707,expansion,0
198708,expansion,0
198709,financial_stress,3
198710,financial_stress,3
198711,financial_stress,3
198712,financial_stress,3
198801,financial_stress,3
198802,expansion,0
198803,expansion,0
198804,expansion,0
198805,expansion,0
198806,expansion,0
198807,financial_stress,3
198808,financial_stress,3
198809,financial_stress,3
198810,expansion,0
198811,expansion,0
198812,expansion,0
198901,stagflation,1
198902,financial_stress,3
198903,financial_stress,3
198904,financial_stress,3
198905,financial_stress,3
198906,contraction,2
198907,contraction,2
198908,contraction,2
198909,financial_stress,3
198910,financial_stress,3
198911,contraction,2
198912,contraction,2
199001,expansion,0
199002,expansion,0
199003,expansion,0
199004,expansion,0
199005,expansion,0
199006,expansion,0
199007,stagflation,1
199008,stagflation,1
199009,financial_stress,3
199010,financial_stress,3
199011,financial_stress,3
199012,financial_stress,3
199101,financial_stress,3
199102,contraction,2
199103,contraction,2
199104,expansion,0
199105,expansion,0
199106,expansion,0
199107,expansion,0
199108,expansion,0
199109,expansion,0
199110,expansion,0
199111,expansion,0
199112,expansion,0
199201,expansion,0
199202,expansion,0
199203,expansion,0
199204,expansion,0
199205,expansion,0
199206,expansion,0
199207,expansion,0
199208,expansion,0
199209,expansion,0
199210,expansion,0
199211,expansion,0
199212,expansion,0
199301,expansion,0
199302,expansion,0
199303,expansion,0
199304,expansion,0
199305,expansion,0
199306,expansion,0
199307,expansion,0
199308,expansion,0
199309,expansion,0
199310,expansion,0
199311,expansion,0
199312,expansion,0
199401,expansion,0
199402,expansion,0
199403,expansion,0
199404,expansion,0
199405,expansion,0
199406,expansion,0
199407,expansion,0
199408,expansion,0
199409,expansion,0
199410,expansion,0
199411,expansion,0
199412,expansion,0
199501,expansion,0
199502,expansion,0
199503,expansion,0
199504,expansion,0
199505,expansion,0
199506,expansion,0
199507,expansion,0
199508,expansion,0
199509,expansion,0
199510,expansion,0
199511,expansion,0
199512,expansion,0
199601,expansion,0
199602,expansion,0
199603,expansion,0
199604,expansion,0
199605,expansion,0
199606,expansion,0
199607,expansion,0
199608,expansion,0
199609,expansion,0
199610,expansion,0
199611,expansion,0
199612,expansion,0
199701,expansion,0
199702,expansion,0
199703,expansion,0
199704,expansion,0
199705,expansion,0
199706,expansion,0
199707,expansion,0
199708,expansion,0
199709,expansion,0
199710,financial_stress,3
199711,expansion,0
199712,expansion,0
199801,expansion,0
199802,expansion,0
199803,expansion,0
199804,expansion,0
199805,expansion,0
199806,contraction,2
199807,expansion,0
199808,financial_stress,3
199809,financial_stress,3
199810,expansion,0
199811,expansion,0
199812,expansion,0
199901,expansion,0
199902,expansion,0
199903,expansion,0
199904,expansion,0
199905,expansion,0
199906,expansion,0
199907,expansion,0
199908,expansion,0
199909,expansion,0
199910,expansion,0
199911,expansion,0
199912,expansion,0
200001,expansion,0
200002,expansion,0
200003,financial_stress,3
200004,financial_stress,3
200005,contraction,2
200006,stagflation,1
200007,contraction,2
200008,contraction,2
200009,stagflation,1
200010,contraction,2
200011,contraction,2
200012,contraction,2
200101,stagflation,1
200102,stagflation,1
200103,financial_stress,3
200104,financial_stress,3
200105,stagflation,1
200106,contraction,2
200107,contraction,2
200108,contraction,2
200109,financial_stress,3
200110,contraction,2
200111,contraction,2
200112,expansion,0
200201,expansion,0
200202,expansion,0
200203,expansion,0
200204,expansion,0
200205,expansion,0
200206,expansion,0
200207,financial_stress,3
200208,financial_stress,3
200209,financial_stress,3
200210,financial_stress,3
200211,expansion,0
200212,expansion,0
200301,expansion,0
200302,expansion,0
200303,expansion,0
200304,expansion,0
200305,expansion,0
200306,expansion,0
200307,expansion,0
200308,expansion,0
200309,expansion,0
200310,expansion,0
200311,expansion,0
200312,expansion,0
200401,expansion,0
200402,expansion,0
200403,expansion,0
200404,expansion,0
200405,expansion,0
200406,expansion,0
200407,expansion,0
200408,expansion,0
200409,expansion,0
200410,expansion,0
200411,expansion,0
200412,expansion,0
200501,expansion,0
200502,expansion,0
200503,expansion,0
200504,expansion,0
200505,expansion,0
200506,expansion,0
200507,expansion,0
200508,expansion,0
200509,expansion,0
200510,expansion,0
200511,expansion,0
200512,contraction,2
200601,stagflation,1
200602,contraction,2
200603,stagflation,1
200604,stagflation,1
200605,stagflation,1
200606,contraction,2
200607,contraction,2
200608,contraction,2
200609,contraction,2
200610,contraction,2
200611,contraction,2
200612,contraction,2
200701,contraction,2
200702,stagflation,1
200703,stagflation,1
200704,stagflation,1
200705,stagflation,1
200706,contraction,2
200707,contraction,2
200708,contraction,2
200709,expansion,0
200710,expansion,0
200711,expansion,0
200712,financial_stress,3
200801,financial_stress,3
200802,financial_stress,3
200803,financial_stress,3
200804,financial_stress,3
200805,financial_stress,3
200806,financial_stress,3
200807,financial_stress,3
200808,financial_stress,3
200809,financial_stress,3
200810,financial_stress,3
200811,financial_stress,3
200812,financial_stress,3
200901,financial_stress,3
200902,financial_stress,3
200903,financial_stress,3
200904,financial_stress,3
200905,financial_stress,3
200906,financial_stress,3
200907,financial_stress,3
200908,financial_stress,3
200909,expansion,0
200910,expansion,0
200911,expansion,0
200912,expansion,0
201001,expansion,0
201002,expansion,0
201003,expansion,0
201004,expansion,0
201005,financial_stress,3
201006,expansion,0
201007,expansion,0
201008,expansion,0
201009,expansion,0
201010,expansion,0
201011,expansion,0
201012,expansion,0
201101,expansion,0
201102,expansion,0
201103,expansion,0
201104,expansion,0
201105,expansion,0
201106,expansion,0
201107,expansion,0
201108,financial_stress,3
201109,financial_stress,3
201110,financial_stress,3
201111,financial_stress,3
201112,expansion,0
201201,expansion,0
201202,expansion,0
201203,expansion,0
201204,expansion,0
201205,expansion,0
201206,expansion,0
201207,expansion,0
201208,expansion,0
201209,expansion,0
201210,expansion,0
201211,expansion,0
201212,expansion,0
201301,expansion,0
201302,expansion,0
201303,expansion,0
201304,expansion,0
201305,expansion,0
201306,expansion,0
201307,expansion,0
201308,expansion,0
201309,expansion,0
201310,expansion,0
201311,expansion,0
201312,expansion,0
201401,expansion,0
201402,expansion,0
201403,expansion,0
201404,expansion,0
201405,expansion,0
201406,expansion,0
201407,expansion,0
201408,expansion,0
201409,expansion,0
201410,expansion,0
201411,expansion,0
201412,expansion,0
201501,expansion,0
201502,expansion,0
201503,expansion,0
201504,expansion,0
201505,expansion,0
201506,expansion,0
201507,expansion,0
201508,expansion,0
201509,expansion,0
201510,expansion,0
201511,expansion,0
201512,expansion,0
201601,expansion,0
201602,expansion,0
201603,expansion,0
201604,expansion,0
201605,expansion,0
201606,expansion,0
201607,expansion,0
201608,expansion,0
201609,expansion,0
201610,expansion,0
201611,expansion,0
201612,expansion,0
201701,expansion,0
201702,expansion,0
201703,expansion,0
201704,expansion,0
201705,expansion,0
201706,expansion,0
201707,expansion,0
201708,expansion,0
201709,expansion,0
201710,expansion,0
201711,expansion,0
201712,expansion,0
201801,expansion,0
201802,expansion,0
201803,expansion,0
201804,expansion,0
201805,expansion,0
201806,expansion,0
201807,expansion,0
201808,expansion,0
201809,expansion,0
201810,expansion,0
201811,expansion,0
201812,financial_stress,3
201901,contraction,2
201902,stagflation,1
201903,stagflation,1
201904,stagflation,1
201905,contraction,2
201906,contraction,2
201907,contraction,2
201908,contraction,2
201909,contraction,2
201910,contraction,2
201911,contraction,2
201912,contraction,2
202001,stagflation,1
202002,contraction,2
202003,financial_stress,3
202004,financial_stress,3
202005,contraction,2
202006,financial_stress,3
202007,stagflation,1
202008,contraction,2
202009,contraction,2
202010,contraction,2
202011,contraction,2
202012,expansion,0
202101,expansion,0
202102,expansion,0
202103,expansion,0
202104,expansion,0
202105,expansion,0
202106,expansion,0
202107,expansion,0
202108,expansion,0
202109,expansion,0
202110,expansion,0
202111,expansion,0
202112,expansion,0
202201,expansion,0
202202,expansion,0
202203,expansion,0
202204,expansion,0
202205,financial_stress,3
202206,financial_stress,3
202207,contraction,2
202208,contraction,2
202209,contraction,2
202210,stagflation,1
202211,contraction,2
202212,contraction,2
202301,stagflation,1
202302,stagflation,1
202303,contraction,2
202304,stagflation,1
202305,contraction,2
202306,contraction,2
202307,contraction,2
202308,stagflation,1
202309,contraction,2
202310,contraction,2
202311,contraction,2
202312,contraction,2
202401,stagflation,1
202402,stagflation,1
202403,stagflation,1
202404,stagflation,1
202405,contraction,2
202406,contraction,2
202407,contraction,2
202408,contraction,2
202409,contraction,2
202410,contraction,2
202411,contraction,2
202412,contraction,2
